Date,Placements,Impressions,Revenue($),Viewable Impressions
2017-07-11,100860_thedailyseam.com_Cross Device,567,0.12,121
2017-07-11,100867_michalenecerqua.com_Cross Device,210,0.24,0
2017-07-11,100869_cookistry.com_Cross Device,484,0.29,99
2017-07-11,100873_americanheritagecooking.com_Cross Device,2956,3.91,31
2017-07-11,100874_thecottagemama.com_Cross Device,46,0.02,17
2017-07-11,100880_creatingandco.com_Cross Device,148,0.05,39
2017-07-11,100884_momhomeguide.com_Cross Device,130,0.04,15
2017-07-11,100888_thebensonstreet.com_Cross Device,397,0.28,30
2017-07-11,100903_shockinglydelicious.com_Cross Device,1164,0.63,119
2017-07-11,100906_veggieandthebeastfeast.com_Cross Device,907,0.67,82
2017-07-11,100910_thecentsiblelife.com_Cross Device,502,0.71,54
2017-07-11,100916_fakeginger.com_Cross Device,1,0.00,0
2017-07-11,100918_ahomewithpurpose.com_Cross Device,968,2.74,124
2017-07-11,100920_hairbuddha.net_Cross Device,8089,6.09,730
2017-07-11,100922_paleoonabudget.com_Cross Device,246,0.21,20
2017-07-11,100924_glutenfreeguidehq.com_Cross Device,3582,1.06,121
2017-07-11,100932_busy-mommy.com_Cross Device,430,0.21,97
2017-07-11,100943_freetimefrolics.com_Cross Device,13,0.01,1
2017-07-11,100955_morewithlesstoday.com_Cross Device,24,0.00,0
2017-07-11,100956_solveyourtech.com_Cross Device,15359,41.15,8733
2017-07-11,100975_basilmomma.com_Cross Device,340,0.11,14
2017-07-11,100985_udupi-recipes.com_Cross Device,2656,0.81,430
2017-07-11,100994_gingersnapcrafts.com_Cross Device,1619,1.39,232
2017-07-11,100996_sowanddipity.com_Cross Device,604,0.85,143
2017-07-11,100999_domesticfits.com_Cross Device,0,0,0
2017-07-11,101015_geniabeme.com_Cross Device,24,0.02,9
2017-07-11,101016_kidsonaplane.com_Cross Device,887,0.65,463
2017-07-11,101017_thewonderforest.com_Cross Device,4396,4.97,572
2017-07-11,101025_appunwrapper.com_Cross Device,50689,12.79,727
2017-07-11,101026_sprinklebakes.com_Cross Device,4589,3.41,397
2017-07-11,101028_abirdandabean.com_Cross Device,188,0.45,3
2017-07-11,101035_mormonbuzzz.com_Cross Device,75,0.11,25
2017-07-11,101038_vintagevinylnews.com_Cross Device,0,0,0
2017-07-11,101044_jennasuedesign.com/blog_Cross Device,715,0.90,109
2017-07-11,101052_bitesizedbiggie.com_Cross Device,773,0.89,180
2017-07-11,101058_simplyfrugal.ca_Cross Device,7,0,7
2017-07-11,101070_DreamHomebasedWork.com_Cross Device,25004,46.98,824
2017-07-11,101081_ldsmissionaries.com_Cross Device,1090,0.18,56
2017-07-11,101084_cultofmoney.com_Cross Device,78,0.26,15
2017-07-11,101085_weheartparties.com_Cross Device,917,0.47,755
2017-07-11,101086_thestay-at-home-momsurvivalguide.com_Cross Device,1317,0.42,469
2017-07-11,101096_fabnfree.com_Cross Device,4293,5.22,136
2017-07-11,101098_BackpackerBanter.com_Cross Device,1512,0.44,145
2017-07-11,101103_careernook.com_Cross Device,6983,9.24,678
2017-07-11,101110_thislilpiglet.net_Cross Device,1496,2.20,600
2017-07-11,101120_loveoffamilyandhome.net_Cross Device,650,1.11,152
2017-07-11,101122_pneumaticaddict.com_Cross Device,484,2.10,70
2017-07-11,101126_homemadeginger.com_Cross Device,1384,1.67,47
2017-07-11,101128_WellTraveledWife.com_Cross Device,951,1.57,181
2017-07-11,101133_thedistractedmom.com_Cross Device,75,0.31,14
2017-07-11,101134_trimestertalk.com_Cross Device,11728,4.57,4009
2017-07-11,101149_morenascorner.com_Cross Device,335,0.21,67
2017-07-11,101173_SimpleSewingProjects.com_Cross Device,817,0.69,87
2017-07-11,101177_refurbished-ideas.com_Cross Device,234,0.13,90
2017-07-11,101179_betsylife.com_Cross Device,1532,1.05,124
2017-07-11,101181_hbculifestyle.com_Cross Device,2,0,1
2017-07-11,101190_lifeofasouthernmom.com_Cross Device,54,0.03,14
2017-07-11,101211_mariahspleasingplates.com_Cross Device,168,0.52,11
2017-07-11,101240_HoneysQuilling.com_Cross Device,205,0.03,32
2017-07-11,101241_oursmallhours.com_Cross Device,1392,0.86,36
2017-07-11,101247_cleobuttera.com_Cross Device,2624,1.92,70
2017-07-11,101251_michigansavingandmore.com_Cross Device,271,0.03,47
2017-07-11,101259_onlinefanatic.com_Cross Device,40553,16.10,2243
2017-07-11,101261_crochetstreet.com_Cross Device,148,0.01,17
2017-07-11,101272_sarahpetrunoshamanism.com_Cross Device,2504,1.34,586
2017-07-11,101281_makeitcrochet.com_Cross Device,2330,1.05,226
2017-07-11,101289_happyhomefairy.com_Cross Device,4619,3.78,48
2017-07-11,101292_applythelawofattraction.com_Cross Device,5076,1.45,3228
2017-07-11,101307_higherperspectives.com_Cross Device,16671,10.26,10586
2017-07-11,101323_drpsychmom.com_Cross Device,4186,2.73,1653
2017-07-11,101333_thefitfork.com_Cross Device,504,0.60,97
2017-07-11,101339_beathem.org_Cross Device,316,0.21,29
2017-07-11,101342_cafelenormand.com_Cross Device,1737,0.13,78
2017-07-11,101344_simplymadewithlove.blogspot.com_Cross Device,507,0.13,46
2017-07-11,101345_chasethewritedream.com_Cross Device,1226,1.34,41
2017-07-11,101346_thecolemines.com_Cross Device,77,0.08,12
2017-07-11,101347_farmwifedrinks.com_Cross Device,1100,0.42,56
2017-07-11,101362_chillzee.in_Cross Device,3332,0.15,196
2017-07-11,101383_theabroadguide.com_Cross Device,2053,2.78,170
2017-07-11,101393_naivecookcooks.com_Cross Device,2152,1.73,104
2017-07-11,101418_andshegames.com_Cross Device,29,0.01,15
2017-07-11,101419_Newsbake.com - In Article Above Comments,76498,17.75,15500
2017-07-11,101421_clairebrodydesigns.com_Cross Device,1217,4.36,181
2017-07-11,101425_vodkaandbiscuits.com_Cross Device,1492,3.49,57
2017-07-11,101430_Earthables.com_Cross Device,9501,1.12,6107
2017-07-11,101431_johnpavlovitz.com_Cross Device,33005,36.06,2981
2017-07-11,101437_bruisedpassports.com_Cross Device,1463,3.70,272
2017-07-11,101441_insipremore.com_Below Article,1492737,671.07,121287
2017-07-11,101468_livinginretrospect.com_Cross Device,16,0.00,5
2017-07-11,101476_jojocrews.com_Cross Device,3075,1.41,922
2017-07-11,101495_sarahhearts.com_Cross Device,1025,0.64,245
2017-07-11,101505_shebuyshebuilds.com_Cross Device,59,0.61,9
2017-07-11,101507_coolcrafts.com_Cross Device,2050,0.84,60
2017-07-11,101513_trendingrecord.com_Cross Device,8,0,6
2017-07-11,101519_seereadshare.com_Cross Device,0,0,0
2017-07-11,101524_leaguelane.com_Cross Device,9986,1.96,2569
2017-07-11,101529_preparetoserve.com_Cross Device,551,0.07,47
2017-07-11,101548_mobilestrikedata.com_Cross Device,740,0.41,76
2017-07-11,101554_thebellyrulesthemind.net_Cross Device,1507,0.83,248
2017-07-11,101577_trimesterfashion.com_Cross Device,704,0.22,176
2017-07-11,101585_vikingswarofclansdata.com_Cross Device,832,1.39,187
2017-07-11,101590_capitolromance.com_Cross Device,745,1.08,59
