placement_id,placement_name,line_item_name,revenue,imps,imps_blank,imps_default_error,imps_default_bidder,size
4467266,100599_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.000000,0,0,0,0,300x250
9744252,101715_USINT_ATF_728x90_34258176_1W,Resold Line Item,0.009185,48,0,0,0,728x90
9024221,101320_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,320x50
9746025,101707_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000000,0,0,0,0,300x600
8543277,101582_USINT_BTF_300x250_34258176_2W,Resold Line Item,0.000000,10,0,0,10,300x250
9015999,100620_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.098570,11,0,0,0,728x90
9025502,700153_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.000577,4,0,0,0,300x250
9016726,100820_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001010,1,0,0,0,300x250
4421602,100048_USINT_ATF_300X250_34258176_1M,Resold Line Item,0.000817,1,0,0,0,300x250
9016013,100640_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.006065,3,0,0,0,320x50
9010769,100568_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.051706,18,0,0,0,300x250
4833564,100910_USINT_MBL_300x250_34258176_1M,Resold Line Item,0.010814,47,0,0,25,300x250
4804855,100086_USINT_BTF_728x90_34258176_2W,Resold Line Item,0.000000,1,0,0,0,728x90
9024532,101103_USINT_PBJS_sizeless_34258176_1,Resold Line Item,1.059931,528,0,0,0,728x90
9012003,100511_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001660,1,0,0,0,300x600
4434911,100242_USINT_BTF_300x250_34258176_1W,Resold Line Item,0.000000,7,0,0,7,300x250
9031770,700294_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.001339,1,0,0,0,728x90
9025055,101585_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.109444,34,0,0,0,300x250
9016240,100687_USINT_PBJS_sizeless_34258176_1,Resold Line Item,0.003344,3,0,0,0,300x250
