Date,Domain,"Ad Size","Ad Requests","Matched Ad Requests","Fill Rate","Estimated Net Earnings",eCPM
2018-01-24,aproverbs31wife.com,320x50,2033,94,4.62,0.1,1.07
2018-01-24,onetimethrough.com,300x600,421,65,15.44,0.1,1.54
2018-01-24,thoughtsfromalice.com,320x50,1848,91,4.92,0.1,1.1
2018-01-24,girllovesglam.com,160x600,3740,72,1.93,0.1,1.37
2018-01-24,trimestertalk.com,300x600,391,75,19.18,0.1,1.32
2018-01-24,crafterhoursblog.com,300x250,4211,50,1.19,0.1,1.97
2018-01-24,thechroniclesofhome.com,300x600,710,80,11.27,0.1,1.23
2018-01-24,glutenfreeguidehq.com,320x50,2044,78,3.82,0.1,1.26
2018-01-24,lovehomedesigns.com,160x600,231,30,12.99,0.1,3.27
2018-01-24,justinasgems.com,300x250,4941,83,1.68,0.1,1.18
2018-01-24,jennifercooks.com,728x90,848,68,8.02,0.1,1.44
2018-01-24,fooddonelight.com,300x250,1949,55,2.82,0.1,1.78
2018-01-24,savespendsplurge.com,728x90,2178,70,3.21,0.1,1.4
2018-01-24,delishdlites.com,320x50,281,90,32.03,0.1,1.08
2018-01-24,shrinkingmomster.com,300x250,4254,74,1.74,0.1,1.31
2018-01-24,whiskaffair.com,728x90,3940,93,2.36,0.1,1.04
2018-01-24,familiesgotravel.com,728x90,843,63,7.47,0.1,1.54
2018-01-24,pneumaticaddict.com,300x250,2811,97,3.45,0.1,1
2018-01-24,healthycanning.com,728x90,5044,72,1.43,0.1,1.34
2018-01-24,familiesgotravel.com,300x250,3136,69,2.2,0.1,1.39
2018-01-24,vintagevinylnews.com,300x600,325,84,25.85,0.1,1.14
2018-01-24,measuringflower.com,728x90,1099,41,3.73,0.1,2.34
2018-01-24,myleaderpaper.com,728x90,30226,43,0.14,0.1,2.23
2018-01-24,girlintheredshoes.com,160x600,276,60,21.74,0.1,1.59
2018-01-24,wholeandheavenlyoven.com,320x50,443,95,21.44,0.09,1
2018-01-24,layersofhappiness.com,160x600,430,60,13.95,0.09,1.58
2018-01-24,tone-and-tighten.com,160x600,531,77,14.5,0.09,1.23
2018-01-24,ithinkwecouldbefriends.com,300x250,3958,79,2,0.09,1.19
2018-01-24,reallyareyouserious.com,300x250,4752,102,2.15,0.09,0.92
2018-01-24,foodstorageandsurvival.com,320x50,1115,73,6.55,0.09,1.28
2018-01-24,meijermadness.com,300x250,1692,63,3.72,0.09,1.49
2018-01-24,cornerstoneconfessions.com,300x600,500,66,13.2,0.09,1.41
2018-01-24,americanheritagecooking.com,728x90,1209,65,5.38,0.09,1.43
2018-01-24,fooddonelight.com,300x600,1994,49,2.46,0.09,1.9
2018-01-24,chasethewritedream.com,300x250,2547,53,2.08,0.09,1.75
2018-01-24,gourmandeinthekitchen.com,320x50,1014,78,7.69,0.09,1.18
2018-01-24,thebakerupstairs.com,728x90,3305,62,1.88,0.09,1.49
2018-01-24,ksitetv.com,300x250,8213,65,0.79,0.09,1.41
2018-01-24,1plus1plus1equals1.net,160x600,456,94,20.61,0.09,0.97
2018-01-24,thechroniclesofhome.com,160x600,335,59,17.61,0.09,1.54
2018-01-24,faithalongtheway.com,300x250,2677,69,2.58,0.09,1.31
2018-01-24,ksitetv.com,728x90,2863,41,1.43,0.09,2.2
2018-01-24,michigansavingandmore.com,300x250,2597,85,3.27,0.09,1.06
2018-01-24,ourpassionfordogs.com,728x90,7008,95,1.36,0.09,0.95
2018-01-24,inspiringsavings.com,728x90,2022,31,1.53,0.09,2.88
2018-01-24,meijermadness.com,728x90,1525,75,4.92,0.09,1.19
2018-01-24,american-rails.com,160x600,758,89,11.74,0.09,1
2018-01-24,morewithlesstoday.com,300x600,897,53,5.91,0.09,1.67
2018-01-24,pneumaticaddict.com,728x90,1390,71,5.11,0.09,1.24
2018-01-24,simplygloria.com,300x250,3540,44,1.24,0.09,2
2018-01-24,thestay-at-home-momsurvivalguide.com,160x600,484,54,11.16,0.09,1.62
2018-01-24,katiescucina.com,300x600,257,60,23.35,0.09,1.45
2018-01-24,veonoticia.com,300x250,19114,105,0.55,0.09,0.83
2018-01-24,fabnfree.com,300x250,7415,41,0.55,0.09,2.12
2018-01-24,cantstayoutofthekitchen.com,300x600,642,56,8.72,0.09,1.55
2018-01-24,retiredby40blog.com,320x50,716,69,9.64,0.09,1.25
2018-01-24,sewwoodsy.com,300x250,1530,50,3.27,0.09,1.71
2018-01-24,onetimethrough.com,320x50,1604,88,5.49,0.09,0.97
2018-01-24,whiskaffair.com,300x600,285,60,21.05,0.09,1.42
2018-01-24,home-ec101.com,320x50,342,71,20.76,0.08,1.19
2018-01-24,mywomenstuff.com,300x600,258,61,23.64,0.08,1.39
2018-01-24,produceonparade.com,320x50,2406,64,2.66,0.08,1.32
2018-01-24,naivecookcooks.com,728x90,2282,64,2.8,0.08,1.32
2018-01-24,vodkaandbiscuits.com,728x90,2453,48,1.96,0.08,1.76
2018-01-24,thewagging.dog,160x600,359,74,20.61,0.08,1.13
2018-01-24,dailycookingquest.com,300x600,336,53,15.77,0.08,1.58
2018-01-24,bargainbriana.com,728x90,2254,45,2,0.08,1.86
2018-01-24,vintagevinylnews.com,728x90,1551,79,5.09,0.08,1.06
2018-01-24,azula.com,320x50,3958,63,1.59,0.08,1.32
2018-01-24,waterheaterleakinginfo.com,300x600,205,38,18.54,0.08,2.18
2018-01-24,loveoffamilyandhome.net,728x90,1455,42,2.89,0.08,1.97
2018-01-24,jennycollier.com,320x50,1531,88,5.75,0.08,0.94
2018-01-24,modernparentsmessykids.com,300x600,385,51,13.25,0.08,1.62
2018-01-24,apronstringsblog.com,320x50,1472,55,3.74,0.08,1.5
2018-01-24,lifeafterlaundry.com,300x250,2676,48,1.79,0.08,1.71
2018-01-24,greenarrowtv.com,728x90,1899,86,4.53,0.08,0.95
2018-01-24,cantstayoutofthekitchen.com,160x600,413,54,13.08,0.08,1.51
2018-01-24,simpleethrifty.com,300x250,3572,50,1.4,0.08,1.63
2018-01-24,hotairfrying.com,300x600,582,59,10.14,0.08,1.38
2018-01-24,theviveur.com,300x250,3142,114,3.63,0.08,0.71
2018-01-24,vitamin-sunshine.com,300x250,3252,59,1.81,0.08,1.37
2018-01-24,simplesewingprojects.com,300x250,3170,51,1.61,0.08,1.58
2018-01-24,panlasangpinoymeatrecipes.com,300x600,169,53,31.36,0.08,1.52
2018-01-24,thedistractedmom.com,320x50,6985,117,1.68,0.08,0.69
2018-01-24,momitforward.com,728x90,1754,38,2.17,0.08,2.11
2018-01-24,healthycanning.com,300x600,771,68,8.82,0.08,1.18
2018-01-24,thebakerupstairs.com,300x600,172,52,30.23,0.08,1.53
2018-01-24,designimprovised.com,300x600,341,39,11.44,0.08,2.04
2018-01-24,momsbistro.net,300x600,311,32,10.29,0.08,2.47
2018-01-24,noshon.it,160x600,560,82,14.64,0.08,0.96
2018-01-24,justsomething.co,300x600,597,45,7.54,0.08,1.75
2018-01-24,yesterdayontuesday.com,728x90,973,50,5.14,0.08,1.58
2018-01-24,waterheaterleakinginfo.com,728x90,1392,31,2.23,0.08,2.53
2018-01-24,freetimefrolics.com,300x250,2263,42,1.86,0.08,1.86
2018-01-24,foodstorageandsurvival.com,300x250,3485,43,1.23,0.08,1.8
2018-01-24,mynewestaddiction.com,300x250,3287,82,2.49,0.08,0.94
2018-01-24,simplygloria.com,160x600,2010,45,2.24,0.08,1.71
2018-01-24,homestead-and-survival.com,160x600,317,75,23.66,0.08,1.03
2018-01-24,americanheritagecooking.com,300x600,252,38,15.08,0.08,2.03
2018-01-24,sergerpepper.com,300x600,378,44,11.64,0.08,1.75
2018-01-24,shwinandshwin.com,728x90,3098,44,1.42,0.08,1.75
2018-01-24,girltalkhq.com,300x600,231,57,24.68,0.08,1.34
2018-01-24,missiontosave.com,320x50,539,49,9.09,0.08,1.56
2018-01-24,vintagevinylnews.com,160x600,276,88,31.88,0.08,0.87
2018-01-24,onemamasdailydrama.com,160x600,1512,33,2.18,0.08,2.3
2018-01-24,bitterempire.com,320x50,2675,77,2.88,0.08,0.98
2018-01-24,eatprayrundc.com,300x250,930,84,9.03,0.08,0.9
2018-01-24,theabroadguide.com,320x50,3371,82,2.43,0.08,0.92
