day,site,imp_requests,imps_total,publisher_revenue,publisher_rpm
2017-09-05,InspireMore.com - Mobile (3126706),624594,28226,19.958111,0.707082512577056614469000
2017-09-05,InspireMore.com - Display (3126705),127635,3133,6.020044,1.921495052665177146505000
2017-09-05,chipandco.com - Mobile (3056652),104711,2416,4.108879,1.700694950331125827815000
2017-09-05,chipandco.com - Display (3056651),88201,1267,3.380304,2.667958958168902920284000
2017-09-05,CallMePMC.com - Mobile (3056648),83405,927,1.304164,1.406865156418554476807000
2017-09-05,carrieelle.com - Mobile (3056654),46726,1775,1.591410,0.896569014084507042254000
2017-09-05,carrieelle.com - Display (3056653),19909,696,1.944656,2.794045977011494252874000
2017-09-05,CallMePMC.com - Display (3056647),16291,233,0.549238,2.357244635193133047210000
